name,geometry
Sun Peaks Resort,"<Point><coordinates>-119.913025,50.87888,0.0</coordinates></Point>"
Silver Star Mountain Resort,"<Point><coordinates>-119.060898,50.355099,0.0</coordinates></Point>"
Big White Ski Resort,"<Point><coordinates>-118.939018,49.717598,0.0</coordinates></Point>"
Whistler,"<Point><coordinates>-122.958984,50.113533,0.0</coordinates></Point>"
Apex Mountain Resort,"<Point><coordinates>-119.899292,49.418343,0.0</coordinates></Point>"
Panorama,"<Point><coordinates>-116.222992,50.471493,0.0</coordinates></Point>"
Fernie,"<Point><coordinates>-115.070801,49.50024,0.0</coordinates></Point>"
Kimberley,"<Point><coordinates>-115.977173,49.66407,0.0</coordinates></Point>"
Red Mountain Ski Resort,"<Point><coordinates>-117.819183,49.102253,0.0</coordinates></Point>"
Kicking Horse Resort,"<Point><coordinates>-117.051086,51.298637,0.0</coordinates></Point>"
Mt. Washington Ski Resort,"<Point><coordinates>-125.301132,49.739571,0.0</coordinates></Point>"
Revelstoke Mountain Resort,"<Point><coordinates>-118.174438,50.994743,0.0</coordinates></Point>"
Banff National Park,"<Point><coordinates>-115.482788,51.172455,0.0</coordinates></Point>"
Talisman Mountain Resort,"<Point><coordinates>-80.648232,44.31789,0.0</coordinates></Point>"
Blue Mountains,"<Point><coordinates>-80.388336,44.500423,0.0</coordinates></Point>"
Calabogie Peaks,"<Point><coordinates>-76.767654,45.282135,0.0</coordinates></Point>"
Mont Tremblant,"<Point><coordinates>-74.62326,46.192188,0.0</coordinates></Point>"
Cypress Mountain,"<Point><coordinates>-123.20137,49.360016,0.0</coordinates></Point>"
Marmot Basin,"<Point><coordinates>-118.084572,52.801411,0.0</coordinates></Point>"
Grouse Mountain,"<Point><coordinates>-123.095795,49.372204,0.0</coordinates></Point>"
Breckenridge Ski Resort,"<Point><coordinates>-106.037292,39.491325,0.0</coordinates></Point>"
Keystone,"<Point><coordinates>-105.949402,39.590874,0.0</coordinates></Point>"
Winter Park,"<Point><coordinates>-105.762634,39.90131,0.0</coordinates></Point>"
Howelsen Hill,"<Point><coordinates>-106.838297,40.483368,0.0</coordinates></Point>"
Beaver Creek,"<Point><coordinates>-106.5243,39.60582,0.0</coordinates></Point>"
Vail,"<Point><coordinates>-106.380615,39.643768,0.0</coordinates></Point>"
Telluride,"<Point><coordinates>-107.852783,37.957191,0.0</coordinates></Point>"
Copper Mountain Resort,"<Point><coordinates>-106.177284,39.497948,0.0</coordinates></Point>"
Crested Butte,"<Point><coordinates>-106.99585,38.865376,0.0</coordinates></Point>"
Aspen,"<Point><coordinates>-106.836548,39.200333,0.0</coordinates></Point>"
Lake Tahoe,"<Point><coordinates>-120.020142,39.12793,0.0</coordinates></Point>"
Big Bear,"<Point><coordinates>-116.894531,34.361576,0.0</coordinates></Point>"
Northstar,"<Point><coordinates>-120.06237,39.260967,0.0</coordinates></Point>"
Mammoth,"<Point><coordinates>-119.091797,37.614231,0.0</coordinates></Point>"
Mount Shasta Ski Resort,"<Point><coordinates>-122.321777,41.294315,0.0</coordinates></Point>"
Schweitzer Mountain,"<Point><coordinates>-116.584167,48.351578,0.0</coordinates></Point>"
Big Sky,"<Point><coordinates>-111.379395,45.282616,0.0</coordinates></Point>"
Big Mountain at Whitefish,"<Point><coordinates>-114.367676,48.385441,0.0</coordinates></Point>"
Glacier Park,"<Point><coordinates>-113.851318,48.835796,0.0</coordinates></Point>"
Cannon Mountain,"<Point><coordinates>-71.676865,44.036053,0.0</coordinates></Point>"
Gore Mountain Ski Resort,"<Point><coordinates>-73.992409,43.683998,0.0</coordinates></Point>"
Mt Hood Meadows Ski Resort,"<Point><coordinates>-121.664574,45.331467,0.0</coordinates></Point>"
Mount Bachelor Ski Area,"<Point><coordinates>-121.526642,43.976509,0.0</coordinates></Point>"
Camelback Ski Area,"<Point><coordinates>-75.356857,41.052948,0.0</coordinates></Point>"
Park City Ski Area,"<Point><coordinates>-111.505737,40.650429,0.0</coordinates></Point>"
Deer Valley Ski Resort,"<Point><coordinates>-111.49205,40.64357,0.0</coordinates></Point>"
The Canyons Ski Resort,"<Point><coordinates>-111.549385,40.687344,0.0</coordinates></Point>"
Solitude Mountain Resort,"<Point><coordinates>-111.597015,40.622749,0.0</coordinates></Point>"
Snowbird,"<Point><coordinates>-111.665039,40.563896,0.0</coordinates></Point>"
Alta,"<Point><coordinates>-111.637833,40.588993,0.0</coordinates></Point>"
Powder Mountain,"<Point><coordinates>-111.784775,41.378418,0.0</coordinates></Point>"
Snowbasin Sun Valley Resort,"<Point><coordinates>-111.858414,41.217468,0.0</coordinates></Point>"
Killington Ski Resort,"<Point><coordinates>-72.778244,43.675819,0.0</coordinates></Point>"
Sugarbush Resort,"<Point><coordinates>-72.879608,44.146126,0.0</coordinates></Point>"
Stowe,"<Point><coordinates>-72.702026,44.475441,0.0</coordinates></Point>"
